Make & Model,Year,Avg. Daily Price,Avg. Monthly Revenue,Demand,Annual Revenue,Market Value,ROI,Days On Turo,Trips,Protection Plan
Toyota Corolla Hatchback,2025,$33,$370,33%,$4440,$23670,19%,26,2,90%
Toyota Corolla Hatchback,2025,$34,$545,50%,$6540,$23670,28%,26,3,90%
Nissan Sentra,2025,$42,$1108,86%,$13296,$22258,60%,86,17,90%
Nissan Sentra,2025,$44,$1051,77%,$12612,$22258,57%,86,13,90%
Nissan Sentra,2025,$44,$991,73%,$11892,$21593,55%,88,18,90%
Nissan Sentra,2025,$41,$1030,82%,$12360,$22258,56%,87,22,90%
Nissan Sentra,2025,$42,$952,74%,$11424,$22258,51%,87,18,90%
Nissan Sentra,2025,$42,$1048,81%,$12576,$22258,57%,87,13,90%
Nissan Sentra,2025,$42,$989,77%,$11868,$22258,53%,86,17,90%
Nissan Sentra,2025,$41,$984,77%,$11808,$22258,53%,86,16,90%
Nissan Sentra,2025,$40,$1024,82%,$12288,$22258,55%,86,14,90%
Nissan Sentra,2025,$41,$972,76%,$11664,$22258,52%,86,28,90%
Nissan Sentra,2025,$42,$958,74%,$11496,$22258,52%,86,18,90%
Nissan Sentra,2025,$41,$996,78%,$11952,$22258,54%,86,18,90%
Nissan Sentra,2025,$40,$722,58%,$8664,$22258,39%,87,15,90%
Nissan Sentra,2025,$42,$910,71%,$10920,$22258,49%,87,19,90%
Nissan Sentra,2025,$42,$948,74%,$11376,$21593,53%,87,17,90%
Nissan Sentra,2025,$43,$1023,78%,$12276,$21593,57%,88,18,90%
Nissan Sentra,2025,$42,$1072,82%,$12864,$22258,58%,87,12,90%
Nissan Sentra,2025,$41,$970,76%,$11640,$22258,52%,86,16,90%
Nissan Sentra,2025,$43,$1006,76%,$12072,$22258,54%,87,14,90%
Nissan Sentra,2025,$42,$837,64%,$10044,$21593,47%,87,19,90%
Nissan Sentra,2025,$42,$839,64%,$10068,$22258,45%,86,14,90%
Toyota Corolla Hybrid,2025,$41,$753,59%,$9036,$24455,37%,72,15,90%
Toyota Corolla Hybrid,2025,$34,$724,63%,$8688,$24455,36%,31,6,90%
Toyota Corolla Hybrid,2025,$40,$956,77%,$11472,$24455,47%,59,14,90%
Toyota Corolla Hybrid,2025,$40,$840,68%,$10080,$24455,41%,72,18,90%
Toyota Corolla Hybrid,2025,$42,$922,71%,$11064,$24455,45%,59,11,90%
Toyota Corolla Hybrid,2025,$41,$931,74%,$11172,$24455,46%,59,14,90%
Toyota Corolla Hybrid,2025,$44,$738,54%,$8856,$24455,36%,59,11,90%
Toyota Corolla Hybrid,2025,$41,$888,70%,$10656,$24455,44%,72,14,90%
Toyota Corolla Hybrid,2025,$43,$919,70%,$11028,$24455,45%,59,8,90%
Toyota Corolla Hybrid,2025,$45,$714,51%,$8568,$24455,35%,59,8,90%
Toyota Corolla Hybrid,2025,$44,$682,50%,$8184,$24455,33%,59,12,90%
Toyota Corolla Hybrid,2025,$43,$1046,79%,$12552,$24455,51%,59,9,90%
Toyota Corolla Hybrid,2025,$43,$1033,77%,$12396,$24455,51%,59,8,90%
Toyota Corolla Hybrid,2025,$44,$1093,80%,$13116,$24455,54%,72,9,90%
Toyota Corolla Hybrid,2025,$41,$742,59%,$8904,$24455,36%,72,18,90%
Toyota Corolla Hybrid,2025,$37,,,,$24455,,31,2,90%
Toyota Corolla Hybrid,2025,$43,$804,61%,$9648,$24455,39%,59,10,90%
Toyota Corolla Hybrid,2025,$43,$752,57%,$9024,$24455,37%,72,10,90%
Toyota Corolla Hybrid,2025,$41,$893,71%,$10716,$24455,44%,72,15,90%
Toyota Corolla Hybrid,2025,$43,$1016,77%,$12192,$24455,50%,59,11,90%
Toyota Corolla Hybrid,2025,$41,$748,59%,$8976,$24455,37%,72,17,90%
Toyota Corolla Hybrid,2025,$42,$507,39%,$6084,$24455,25%,72,12,90%
Chevrolet Malibu,2024,$41,$913,73%,$10956,$27104,40%,134,30,90%
Chevrolet Malibu,2024,$41,$948,75%,$11376,$27104,42%,134,23,90%
Chevrolet Malibu,2024,$42,$769,60%,$9228,$27104,34%,152,16,90%
Chevrolet Malibu,2024,$42,$798,61%,$9576,$27104,35%,134,23,90%
Chevrolet Malibu,2024,$40,$802,65%,$9624,$27104,36%,152,17,90%
Chevrolet Malibu,2024,$42,$938,72%,$11256,$27104,42%,134,26,90%
Nissan Kicks,2024,$42,$964,75%,$11568,$21495,54%,201,44,90%
Nissan Kicks,2024,$41,$960,76%,$11520,$21495,54%,202,28,90%
Nissan Kicks,2024,$43,$971,74%,$11652,$21495,54%,177,17,90%
Nissan Kicks,2024,$43,$910,69%,$10920,$21495,51%,201,24,90%
Ford Transit,2023,$99,$1754,58%,$21048,$52923,40%,641,81,90%
Ford Transit,2023,$92,$1575,56%,$18900,$52923,36%,641,68,90%
Ford Transit,2023,$103,$2279,72%,$27348,$52923,52%,641,76,90%
Chevrolet Trax,2024,$45,$1200,87%,$14400,$20433,70%,204,40,90%
Chevrolet Trax,2024,$56,$1321,77%,$15852,$20433,78%,318,61,90%
Chevrolet Trax,2024,$56,$1234,71%,$14808,$20433,72%,318,45,90%
Chevrolet Trax,2024,$47,$1212,83%,$14544,$20433,71%,204,20,90%
Chevrolet Trax,2024,$43,$1053,79%,$12636,$20433,62%,204,39,90%
Chevrolet Trax,2024,$57,$1217,70%,$14604,$20433,71%,318,49,90%
Chevrolet Trax,2024,$58,$1434,80%,$17208,$20433,84%,318,42,90%
Chevrolet Trax,2024,$52,$1175,73%,$14100,$20433,69%,318,45,90%
Chevrolet Trax,2024,$59,$1247,69%,$14964,$20433,73%,318,44,90%
Chevrolet Trax,2024,$43,$1056,80%,$12672,$20433,62%,204,36,90%
Chevrolet Trax,2024,$49,$1078,71%,$12936,$20433,63%,282,43,90%
Ford Bronco Sport,2023,$48,$926,62%,$11112,$31180,36%,521,91,90%
Ford Escape,2023,$50,$1229,80%,$14748,$28610,52%,215,53,90%
Ford Fiesta,2016,$33,$785,77%,$9420,$5541,170%,408,65,90%
Toyota Corolla Cross,2024,$40,$966,78%,$11592,$26262,44%,232,47,90%
Jeep Grand Cherokee L,2023,$54,$1351,82%,$16212,$40840,40%,743,91,90%
Jeep Grand Cherokee L,2023,$53,$1358,84%,$16296,$40840,40%,744,119,90%
Jeep Grand Cherokee L,2023,$54,$1235,74%,$14820,$49710,30%,212,36,90%
Dodge Durango,2023,$53,$1194,73%,$14328,$38445,37%,248,37,90%
Dodge Durango,2023,$53,$1194,73%,$14328,$38445,37%,247,53,90%
Toyota Corolla,2024,$38,$997,85%,$11964,$21978,54%,350,78,90%
Jeep Gladiator,2023,$56,$1218,71%,$14616,$53956,27%,197,41,90%
Jeep Grand Cherokee,2023,$52,$1157,72%,$13884,$35318,39%,421,73,90%
Tesla Model 3,2023,$50,$918,60%,$11016,$40630,27%,124,29,90%
